Geneid	L11B	L12B	L13B	L14B	L15B	L1A	L2A	L3A	L4A	L5A	L1N	L2N	L3N	L4N
Bhmt2	2	7	0	5	0	1	0	3	7	4	1	0	1	0
Bhmt	2	7	3	7	5	10	11	5	22	9	3	9	5	4
Jmy	44	47	43	64	67	61	46	44	87	98	71	83	58	38
Homer1	19	32	22	51	37	20	14	40	86	62	24	40	24	14
Papd4	18	26	18	23	18	39	22	31	48	54	44	41	38	17
Cmya5	13	23	10	38	38	10	5	13	60	45	12	13	11	9
LOC101833377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtx3	1	1	2	3	4	0	1	5	2	5	1	3	5	2
Thbs4	1	2	1	1	1	1	0	1	2	7	0	0	2	0
LOC110339564	0	1	0	0	0	0	0	1	0	0	0	0	1	0
Serinc5	8	20	7	28	18	11	5	18	52	39	7	19	8	3
LOC101834153	22	29	46	45	24	73	31	29	31	60	74	70	68	36
Spz1	0	4	0	1	1	0	0	1	3	1	0	0	1	0
Zfyve16	10	11	14	21	13	13	8	12	26	24	14	15	29	10
Fam151b	7	11	9	19	13	6	6	14	27	14	12	13	16	8
Ankrd34b	0	2	1	4	2	0	0	1	5	2	1	1	0	1
LOC110339570	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Dhfr	2	3	3	9	6	3	0	3	3	2	3	4	4	2
Msh3	16	37	13	76	57	16	9	45	97	68	20	19	20	12
Rasgrf2	8	7	7	30	9	9	2	28	37	33	16	9	17	4
Ckmt2	0	2	0	0	1	1	0	0	0	0	0	3	1	1
Zcchc9	62	89	86	91	125	179	74	100	238	188	160	201	160	101
Acot12	6	5	3	14	13	2	2	7	17	17	3	5	0	2
LOC110339385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp2	29	59	34	83	75	67	40	69	166	100	54	85	67	31
LOC110339574	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC110339575	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Atg10	31	57	28	85	67	29	27	61	138	117	25	50	33	23
LOC110339441	5	9	3	12	9	1	4	13	16	18	4	8	4	4
Rps23	457	538	519	588	685	1197	651	620	1168	1081	922	1235	1075	610
Atp6ap1l	1	1	0	5	3	1	0	4	2	5	2	2	3	0
LOC101832072	5	8	5	6	14	17	9	8	12	19	18	13	12	7
Tmem167a	24	54	49	48	50	99	46	52	98	85	64	99	81	46
Xrcc4	14	40	17	61	62	29	11	41	114	74	24	34	30	10
LOC101832593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vcan	16	19	10	41	31	27	12	30	62	58	14	23	16	5
Hapln1	4	9	1	25	21	3	3	17	31	22	6	3	7	2
Edil3	30	42	13	76	71	15	8	68	151	88	27	18	18	6
LOC101833812	0	0	0	0	0	0	0	0	1	0	0	0	1	0
LOC101835729	0	1	0	0	1	1	1	1	0	2	0	1	0	0
LOC110339612	4	3	3	4	3	6	7	4	7	6	8	4	6	4
LOC101834067	364	486	443	488	580	858	493	468	806	833	659	888	768	429
LOC101835989	0	0	0	0	0	0	0	0	1	2	0	0	1	0
LOC101834330	0	3	2	1	2	3	4	5	6	2	6	3	1	2
Rasa1	40	53	45	72	65	66	39	49	128	90	78	113	95	46
Ccnh	14	30	20	39	33	42	19	33	60	59	20	34	25	13
LOC101836252	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Tmem161b	8	12	6	22	19	8	7	15	42	29	10	19	17	9
LOC101836772	6	4	3	16	11	1	0	13	23	18	3	3	3	2
LOC106022534	0	0	0	0	0	0	0	0	1	1	0	0	1	1
Mef2c	33	57	54	82	72	121	48	58	157	130	71	116	87	42
LOC101837030	0	1	0	0	0	0	0	0	1	2	0	0	0	0
Cetn3	29	39	40	34	47	81	32	43	77	71	64	116	96	34
LOC110339613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mblac2	2	2	1	0	1	1	1	1	4	2	5	3	5	0
Polr3g	15	11	15	25	22	20	6	14	30	31	21	23	27	13
Lysmd3	6	14	11	11	13	23	11	12	24	38	21	22	21	11
Adgrv1	22	41	26	84	86	21	12	72	134	104	26	21	21	22
LOC110339577	0	1	1	1	1	2	1	1	11	9	2	2	1	0
LOC110339481	1	4	0	8	2	4	1	2	4	5	1	3	1	3
LOC101837651	0	2	7	6	3	6	2	4	10	11	5	5	10	4
LOC110339485	7	5	3	10	7	13	7	14	25	22	6	10	7	5
Arrdc3	74	65	80	79	82	174	89	75	147	198	156	184	165	68
LOC110339578	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC110339615	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Trnay-gua	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106022542	7	14	3	21	13	4	2	17	30	20	6	18	4	4
Nr2f1	9	15	6	8	15	14	6	14	13	17	24	24	18	10
Fam172a	22	62	29	85	77	39	22	49	165	113	40	63	44	28
Pou5f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiaa0825	41	60	51	117	74	53	41	83	153	117	61	78	54	32
Slf1	7	16	8	21	12	26	9	10	18	24	18	20	16	15
Mctp1	13	48	26	73	62	26	8	68	122	104	22	30	17	14
Fam81b	4	7	3	9	7	6	3	6	8	11	7	7	3	2
Ttc37	3	13	11	24	21	18	11	16	43	28	9	11	15	8
Arsk	4	12	5	24	24	7	6	17	36	21	9	11	7	5
LOC110339617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfesd	3	5	6	4	9	13	3	5	18	14	18	12	12	6
LOC101839887	2	0	0	0	0	6	1	1	0	0	0	1	0	1
Spata9	3	5	0	4	4	1	0	6	9	10	1	0	1	0
Rhobtb3	2	5	4	5	4	7	3	7	8	12	6	7	11	4
Glrx	110	132	160	153	167	442	220	204	492	417	191	255	229	123
LOC110339505	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Ell2	8	16	10	19	18	20	13	13	36	20	22	24	21	13
LOC110339506	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pcsk1	0	1	1	1	0	1	0	2	8	4	0	1	0	2
Cast	60	76	92	130	94	124	78	77	135	158	162	180	203	106
Erap1	10	12	11	16	13	10	3	17	21	27	7	17	14	7
LOC110339509	8	3	3	7	5	8	1	6	9	13	5	9	9	4
LOC110339620	0	0	0	0	1	0	1	0	2	1	0	0	0	0
Clvs2	1	3	1	7	5	1	1	6	11	9	2	3	3	1
LOC110340108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106023025	3	6	1	14	7	3	1	7	19	19	3	3	1	1
LOC101842210	1	2	0	2	3	0	1	1	5	2	1	2	0	0
LOC101842479	20	40	29	57	41	23	10	37	93	51	58	55	32	14
Nkain2	56	116	34	198	159	42	30	145	316	242	60	75	84	27
LOC106022994	1	9	0	17	11	2	2	12	31	13	3	3	1	0
LOC110339633	0	1	0	0	4	0	0	1	4	3	0	1	0	0
Rnf217	8	21	21	58	32	31	19	24	83	69	23	20	23	10
Tpd52l1	0	9	6	20	13	9	7	18	25	29	4	4	8	3
Hddc2	6	7	9	8	8	25	13	10	32	12	10	15	13	8
LOC110340109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101843275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hey2	2	2	1	4	4	4	3	5	8	4	12	12	6	3
Trnae-cuc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa7	25	40	25	51	48	29	12	40	96	79	39	48	38	25
Hint3	11	20	14	36	36	41	23	22	43	47	24	28	32	24
Trmt11	10	10	4	9	9	9	4	16	15	28	12	17	7	4
LOC110339655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpw	0	1	1	2	0	7	0	2	3	4	1	4	4	0
LOC101843548	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Rspo3	13	26	15	43	37	13	8	24	56	44	19	26	17	4
Rnf146	22	15	21	32	34	60	30	31	47	38	53	89	55	32
Echdc1	25	46	36	37	39	55	40	35	57	50	47	79	61	26
LOC106023067	0	0	0	0	1	0	0	2	1	0	0	0	1	0
LOC106020772	0	3	2	0	3	0	1	1	5	2	4	1	0	0
Kiaa0408	4	9	6	7	13	2	6	10	12	18	11	10	7	5
Soga3	1	2	0	1	0	0	2	2	2	1	2	0	1	1
CUNH6orf58	0	1	0	0	5	1	0	2	2	5	0	2	0	0
LOC110340124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Themis	16	34	13	50	46	21	10	31	91	61	12	20	19	12
LOC101844614	0	0	0	0	0	0	0	2	1	0	0	0	0	0
Ptprk	52	117	49	236	172	80	41	146	346	228	103	121	93	35
LOC110339693	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106022999	1	2	2	1	3	1	2	3	4	2	1	3	0	1
LOC101822534	9	20	9	30	26	9	3	24	42	37	19	23	21	5
Lama2	48	95	70	164	137	80	51	128	275	206	69	100	105	42
Arhgap18	26	63	29	75	76	35	21	67	136	109	36	38	33	21
Tmem244	8	16	2	25	11	4	1	24	38	24	2	0	3	1
L3mbtl3	29	28	29	44	44	32	26	36	56	58	48	52	45	27
Samd3	2	6	12	22	13	19	2	9	25	18	7	13	7	8
Tmem200a	2	5	2	1	5	3	2	2	15	8	3	3	5	0
LOC110339706	3	8	0	9	6	2	3	4	7	6	9	8	7	4
LOC110339708	0	1	0	0	0	0	0	1	0	0	0	0	0	1
Smlr1	0	9	3	20	11	3	1	3	18	18	1	2	1	2
Epb41l2	36	64	48	67	64	107	49	69	136	136	90	157	105	56
Akap7	42	70	55	84	94	91	54	91	169	158	76	98	104	39
LOC101823612	35	41	49	56	63	153	64	48	105	112	57	80	62	47
LOC110340110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340111	1	1	0	0	1	3	0	0	9	8	0	1	1	2
Arg1	11	24	26	27	23	71	48	39	100	57	30	27	23	13
Med23	3	22	8	15	18	10	5	13	35	28	10	17	20	7
Enpp3	3	3	2	11	5	4	2	8	11	13	3	3	1	0
Enpp1	4	6	0	21	6	3	0	14	21	20	3	5	5	1
Ctgf	64	78	100	67	63	178	86	66	122	181	122	137	146	103
LOC110340112	1	1	0	4	0	1	0	3	6	1	1	3	4	0
Moxd1	4	4	3	5	5	5	3	2	12	14	2	6	3	2
Stx7	52	68	84	95	85	158	111	86	178	180	119	155	161	81
LOC101824394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101824655	3	5	2	5	5	0	1	5	11	6	1	2	1	0
LOC101827813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101827553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101828071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101828337	0	0	0	0	0	0	0	3	2	2	0	0	0	0
LOC101828604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340125	0	0	1	1	0	1	0	0	1	5	0	1	3	1
Taar1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vnn1	1	3	0	4	3	0	2	5	8	7	1	0	0	0
LOC101825185	4	6	4	7	1	1	0	7	15	15	2	6	0	3
Slc18b1	4	4	3	11	5	9	3	6	12	14	7	8	8	5
Rps12	912	1169	1232	1316	1434	2632	1377	1295	2322	2513	1809	2345	2197	1211
Eya4	16	26	18	53	38	16	6	37	98	60	13	16	10	13
LOC110339768	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Tcf21	62	93	63	69	101	158	47	68	120	141	118	102	110	52
Tbpl1	10	10	15	24	14	28	14	14	42	25	26	28	15	14
Slc2a12	10	29	8	48	36	12	10	28	53	45	18	14	10	6
LOC110340122	0	0	0	0	1	0	0	0	0	1	1	0	0	0
Sgk1	7	11	8	11	13	20	11	6	25	27	15	27	17	9
LOC110339786	0	0	0	2	2	0	0	0	1	1	1	0	0	0
LOC110340113	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC110339788	1	3	1	2	4	4	2	2	5	7	6	4	5	3
LOC106023120	2	6	2	7	8	1	2	4	16	12	2	3	2	0
Aldh8a1	4	6	1	9	9	5	1	2	20	7	0	5	1	0
Hbs1l	28	34	37	43	53	80	32	37	80	60	53	78	67	30
Myb	5	8	5	11	11	9	3	12	34	26	8	11	6	7
Ahi1	22	44	36	50	47	44	21	39	89	75	52	64	53	21
LOC110340123	0	3	1	6	3	0	1	1	9	5	3	3	1	0
LOC110339805	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Pde7b	55	112	75	153	127	101	50	95	216	173	121	113	149	69
Mtfr2	3	12	6	26	27	9	7	29	47	34	11	8	9	1
Bclaf1	40	61	48	90	86	117	45	68	138	144	96	141	126	59
Map7	26	35	12	72	43	14	15	57	102	70	25	30	16	11
Map3k5	34	56	26	83	77	52	15	83	136	127	44	50	43	25
LOC106023008	3	8	4	16	16	3	2	8	28	28	3	6	3	2
LOC110339829	0	0	0	0	0	0	0	1	2	1	0	0	0	0
LOC106020774	0	1	0	0	2	1	0	0	0	1	2	0	1	1
Pex7	6	12	6	15	14	19	12	10	29	28	10	18	18	4
Slc35d3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Il20ra	0	1	0	0	1	0	0	1	3	4	0	0	0	0
LOC106022990	2	10	1	11	7	2	1	6	18	15	2	3	3	1
LOC110339839	4	3	1	11	11	2	1	5	21	7	1	3	3	1
Il22ra2	1	2	0	1	2	1	0	1	5	4	0	2	1	0
Ifngr1	13	33	16	28	28	47	17	22	70	72	30	37	28	10
Olig3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110339845	1	4	0	4	7	2	1	9	15	5	2	3	2	0
LOC110339847	2	0	0	1	3	2	0	2	4	3	2	10	2	1
Tnfaip3	2	6	4	6	7	14	11	12	23	31	12	11	11	2
LOC110340114	1	8	5	12	17	6	4	17	30	27	4	5	4	1
Perp	8	14	11	17	16	26	12	7	24	22	20	19	32	11
LOC101827812	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef3	10	50	8	71	48	28	9	38	92	70	18	12	23	11
LOC106023135	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hebp2	3	2	6	3	4	5	1	3	2	2	10	8	9	5
Nhsl1	18	56	16	69	73	31	10	56	103	97	16	39	29	10
LOC106020776	0	0	0	1	2	0	0	2	5	6	1	1	0	0
Ccdc28a	1	12	8	14	6	20	7	7	13	17	11	23	14	8
Ect2l	2	6	2	8	7	0	1	12	18	10	2	5	6	1
Reps1	30	35	20	54	48	43	27	45	77	82	45	84	54	31
Abracl	49	80	62	76	81	170	87	76	152	150	112	171	166	58
Heca	39	67	58	56	61	95	39	39	95	116	97	155	144	59
Txlnb	0	1	0	1	2	0	0	2	11	6	0	0	0	0
Cited2	11	23	17	35	37	38	27	41	45	66	23	31	35	12
LOC106023285	0	0	1	1	1	0	0	0	1	0	0	0	0	1
LOC110340115	1	2	9	4	1	4	2	3	5	4	9	7	6	4
LOC106023289	0	0	0	0	1	0	0	2	1	0	1	1	1	1
LOC101829133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101838107	0	2	4	3	3	7	4	0	3	4	1	2	2	4
LOC101838378	0	0	1	3	1	1	0	2	2	5	0	0	2	0
LOC106022928	5	3	1	3	3	1	2	3	2	4	1	4	1	3
Nmbr	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101838907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vta1	17	48	29	52	43	54	24	51	105	72	53	58	51	22
Adgrg6	12	30	11	51	31	17	10	43	80	72	20	26	31	13
Hivep2	41	66	70	62	89	86	53	55	72	92	99	117	96	67
Aig1	33	76	37	78	62	52	20	63	127	93	38	43	41	20
Adat2	2	5	3	4	7	6	3	3	4	11	9	6	6	2
Pex3	8	14	7	23	25	15	5	13	36	25	13	20	12	4
Fuca2	7	9	9	1	13	21	13	4	10	24	10	20	13	9
Phactr2	134	189	220	253	226	267	150	167	304	332	274	479	394	216
Ltv1	14	17	16	20	20	32	24	22	44	37	18	20	28	11
Zc2hc1b	1	2	0	1	1	1	0	0	6	2	1	0	2	0
Plagl1	19	37	19	41	51	40	10	39	73	60	36	40	28	22
Sf3b5	90	106	98	116	124	242	133	120	231	224	155	176	182	104
Stx11	4	2	7	7	13	11	4	8	18	10	5	6	8	3
LOC106023168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trnal-uaa	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Utrn	109	150	93	283	226	140	60	219	430	323	153	206	162	99
LOC110340023	0	0	1	0	1	2	1	0	1	0	2	0	2	1
LOC110340118	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Epm2a	1	2	2	8	8	3	0	7	14	13	0	5	4	1
LOC101830210	1	5	0	2	2	5	3	5	10	9	4	6	5	4
LOC101830487	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo30	8	10	10	10	17	22	9	10	9	14	15	29	22	10
Shprh	18	39	20	37	31	27	8	21	56	62	32	43	34	19
LOC101843013	38	56	45	61	63	100	57	45	79	99	76	112	86	52
LOC101843277	0	0	0	1	2	2	1	1	2	2	0	1	2	0
Grm1	28	45	28	76	59	47	41	72	117	91	47	72	50	29
LOC106023015	19	18	22	34	34	44	33	31	53	50	40	59	44	26
Rab32	13	23	18	40	29	34	16	18	51	55	18	28	22	15
Adgb	2	7	4	25	15	6	1	12	16	19	6	9	7	3
LOC101831279	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Stxbp5	33	30	16	56	67	45	10	61	105	85	26	43	42	16
Sash1	64	102	71	160	155	122	46	120	274	248	117	193	134	61
LOC110340054	1	5	0	1	1	0	1	4	5	4	2	2	1	0
LOC110340051	0	0	0	2	3	1	1	1	2	3	0	0	1	0
Ust	22	42	6	80	71	26	17	68	117	98	12	29	39	13
LOC110340062	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340063	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC110340066	0	1	0	0	1	0	0	2	2	0	0	1	0	0
LOC101844346	1	2	4	3	3	10	5	4	7	10	6	5	4	2
Tab2	50	70	52	90	75	98	53	75	149	154	73	108	89	41
Zc3h12d	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC101832330	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ppil4	18	29	21	63	52	53	30	39	92	88	32	43	45	13
Ginm1	18	17	19	29	24	27	8	26	50	51	24	39	28	9
Katna1	22	15	20	37	32	61	30	23	62	60	47	68	57	21
Lats1	18	23	22	24	23	38	11	26	52	52	23	43	30	12
Nup43	9	18	7	11	17	17	8	13	38	44	14	16	17	5
Pcmt1	21	40	28	43	34	44	30	36	68	76	34	50	37	17
Lrp11	4	5	3	13	24	3	1	17	33	21	2	4	4	4
LOC110339221	5	8	1	9	5	2	1	8	14	9	2	2	2	1
LOC101833380	0	0	0	1	0	0	0	0	0	1	0	0	0	0
LOC101833648	1	0	0	0	1	0	0	1	0	0	0	0	0	0
LOC110340097	0	2	0	1	2	2	0	4	3	1	1	3	0	0
Ppp1r14c	43	43	47	61	51	51	32	33	52	79	70	89	82	43
LOC110340119	0	0	0	0	0	0	0	1	3	0	1	0	0	0
Iyd	1	0	2	1	1	1	1	0	0	1	0	0	2	0
LOC106022882	1	0	0	0	0	0	0	0	1	1	1	0	1	0
Plekhg1	24	34	12	83	48	14	9	52	128	94	16	13	18	16
Mthfd1l	16	34	11	39	57	16	5	37	86	69	13	26	9	14
Trnas-gcu_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap12	117	173	109	116	152	250	98	92	225	263	222	276	246	130
Zbtb2	6	3	1	7	5	6	1	4	6	9	5	12	4	5
Rmnd1	8	22	13	29	24	19	11	23	52	33	19	15	25	11
Armt1	4	3	6	7	5	12	7	2	6	12	11	10	8	4
Ccdc170	14	19	14	34	31	17	9	23	46	40	15	27	15	13
LOC101825287	0	9	2	13	11	1	1	4	22	15	4	3	2	1
Esr1	25	66	25	106	89	13	16	87	193	141	34	40	27	19
Syne1	55	87	56	134	113	99	27	121	178	156	83	101	93	52
Myct1	4	3	1	10	8	10	2	8	20	12	6	5	6	0
Vip	1	2	0	1	0	1	0	0	0	2	1	0	1	0
Fbxo5	5	9	3	11	11	6	3	14	14	22	5	9	5	2
Mtrf1l	8	18	16	35	49	25	20	22	72	48	16	30	16	10
Rgs17	8	21	5	23	23	4	1	19	40	40	10	9	12	9
LOC101835212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprm1	10	16	10	28	31	6	5	17	57	42	9	12	5	3
LOC110340098	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340099	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipcef1	11	15	9	38	34	8	8	18	48	45	5	19	13	9
LOC110340100	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cnksr3	18	26	22	49	48	28	14	34	72	56	38	53	31	14
LOC110340101	7	5	1	16	4	2	1	12	15	10	2	2	5	0
LOC101835472	3	4	0	7	4	1	1	4	16	11	2	5	0	2
Scaf8	10	10	16	32	24	28	11	16	42	36	22	30	19	18
Tiam2	17	37	17	48	44	12	11	36	106	60	20	26	19	18
Tfb1m	6	5	2	20	22	10	4	9	35	28	14	19	16	4
Cldn20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nox3	3	10	5	15	21	3	5	13	36	24	2	6	3	2
LOC101835991	0	0	0	1	0	1	0	2	1	1	1	1	0	0
LOC110340126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106023287	0	5	0	3	0	3	2	4	10	4	2	2	0	0
LOC110340102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340120	0	0	0	1	2	0	0	0	2	0	0	0	0	0
LOC110340103	3	3	2	14	9	4	4	7	16	15	2	7	5	3
Arid1b	32	75	33	83	90	68	36	52	127	121	63	103	76	29
LOC110340104	1	0	0	1	0	0	0	1	1	1	0	0	0	0
LOC110340105	2	1	2	7	4	2	0	4	11	5	1	3	0	0
Tmem242	14	18	20	26	36	41	23	36	36	53	38	55	41	25
Ldhal6b	0	0	0	0	3	2	0	1	3	2	1	2	2	0
LOC106020773	1	9	4	13	8	5	2	6	24	19	8	3	5	1
Zdhhc14	7	9	12	25	14	10	6	10	24	20	13	12	10	9
Snx9	8	14	7	30	29	19	14	27	58	50	19	22	18	6
Synj2	6	10	5	15	15	8	5	15	23	26	6	13	6	3
LOC110340106	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Serac1	3	16	10	22	18	9	6	21	45	28	9	16	11	2
Gtf2h5	33	31	32	28	54	85	38	34	59	69	55	72	60	28
Tulp4	19	35	15	78	56	21	12	50	112	93	22	53	42	13
Tmem181	2	17	2	13	15	6	2	17	23	31	8	13	11	4
Dynlt1	42	58	76	72	86	192	77	88	249	176	85	106	95	54
Sytl3	13	32	9	43	39	13	12	35	77	55	14	13	16	5
Ezr	133	154	172	172	204	334	157	170	292	347	221	374	283	157
Rsph3	5	11	16	18	17	28	12	11	28	25	29	28	24	9
Tagap	11	6	11	9	15	37	13	8	27	34	20	34	21	13
Fndc1	1	2	5	6	4	3	4	2	6	9	3	7	3	4
LOC110340107	1	0	0	0	0	0	1	1	1	0	0	0	0	0
Sod2	212	290	362	428	341	1705	908	859	2406	1959	477	624	484	279
Wtap	5	16	25	22	23	45	19	29	48	54	25	29	28	17
Tcp1	3	5	3	9	5	6	2	5	5	8	9	4	4	2
Mrpl18	34	54	53	63	78	123	48	74	102	125	77	140	80	64
Pnldc1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
LOC101839174	4	5	2	2	11	1	4	5	19	15	0	2	3	1
LOC101839433	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Igf2r	8	22	8	19	23	20	11	9	58	31	16	18	17	3
Slc22a1	0	7	1	8	10	1	0	5	14	7	2	1	3	0
LOC101839965	2	2	6	10	5	3	5	6	13	8	4	7	3	0
LOC110340121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101835552	1	0	0	0	0	1	2	2	0	1	1	4	0	0
LOC106020781	1	3	3	3	2	10	4	4	6	19	4	2	10	5
LOC101835819	1	3	4	3	0	4	4	0	0	6	7	9	4	3
Nop2	7	9	7	8	14	19	3	10	30	23	11	12	12	5
LOC110340158	12	17	24	25	8	28	14	12	18	20	33	38	43	20
LOC106020784	68	94	107	108	98	133	81	66	98	121	129	150	158	87
LOC101836333	2	4	1	2	5	3	0	3	2	2	4	5	9	1
Acrbp	2	9	3	26	20	5	2	8	25	18	6	7	4	4
Znf384	3	3	4	8	13	2	0	7	15	17	12	14	11	2
Pianp	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Cops7a	24	45	34	24	39	72	35	33	61	66	45	65	77	31
Mlf2	54	121	111	104	115	193	90	86	171	206	186	240	194	115
Lag3	0	1	0	3	1	1	1	1	2	2	0	1	0	1
Cd4	12	15	5	17	13	6	4	31	41	39	14	9	9	6
Gpr162	0	0	0	1	0	1	2	0	0	0	1	0	0	0
P3h3	4	11	5	8	12	11	3	11	14	20	9	8	4	1
Gnb3	0	0	0	0	0	0	1	1	1	0	1	1	0	0
Cdca3	4	4	1	6	7	19	5	10	10	15	2	17	8	8
Usp5	18	26	12	28	35	43	17	19	46	40	37	25	34	7
Tpi1	67	89	93	93	99	226	106	96	227	241	130	180	160	99
Spsb2	12	12	13	21	19	35	21	17	33	39	21	24	22	22
Lrrc23	8	12	9	22	17	6	5	22	32	28	9	6	6	3
Eno2	11	24	13	19	31	19	10	31	42	42	10	21	13	9
Atn1	3	4	7	8	5	5	6	8	10	4	4	8	7	1
CUNH12orf57	43	51	57	63	77	118	57	43	78	104	74	138	112	57
Ptpn6	74	104	111	126	107	252	132	109	248	229	167	187	198	96
Phb2	42	68	58	58	77	131	75	61	141	142	88	123	112	53
Emg1	24	33	42	26	43	71	33	30	58	60	33	58	40	24
Lpcat3	23	61	25	66	73	38	20	65	135	114	34	55	38	19
C1s	14	12	15	12	26	56	23	24	38	56	22	25	19	12
C1r	23	24	27	28	34	86	36	24	53	80	31	46	40	21
C1rl	0	1	1	1	0	1	2	2	3	3	0	0	0	0
Clstn3	3	3	2	7	3	1	1	3	13	8	2	1	3	1
Pex5	6	12	13	12	23	16	18	18	22	41	16	25	24	10
Cd163	3	12	3	9	12	29	5	12	32	26	10	11	13	2
LOC110340138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101838182	10	29	6	36	23	6	2	23	48	29	7	14	7	4
Clec4e	3	5	7	11	9	56	32	16	38	58	6	15	13	8
LOC101838715	1	1	0	1	1	1	0	0	2	0	0	0	0	0
LOC101838982	2	3	1	3	3	11	8	6	4	18	2	2	1	2
LOC110340162	3	10	2	12	8	1	2	4	14	15	2	3	3	2
LOC110340161	4	4	3	7	8	16	14	9	28	37	7	7	3	4
LOC106020785	0	0	2	6	0	0	1	2	10	5	1	2	1	0
Necap1	11	16	9	17	17	24	7	18	34	25	18	20	23	4
C3ar1	0	7	0	6	4	14	0	15	28	15	4	1	1	3
Foxj2	13	19	18	18	32	36	20	26	36	49	26	41	37	29
LOC110340163	2	1	2	3	1	4	1	1	6	1	4	2	6	2
LOC101839254	35	60	25	116	77	45	22	70	163	133	33	51	26	16
Nanognb	1	1	0	2	1	1	0	3	4	5	0	1	0	0
LOC101840331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dppa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdf3	6	8	4	12	10	4	1	10	23	18	3	6	1	1
Apobec1	27	22	54	65	36	298	241	218	450	407	73	92	64	41
Aicda	0	0	0	0	0	0	0	0	0	0	0	0	0	0
